iter	Passed	Remaining
736	1354	483
737	1356	481
738	1357	479
739	1358	477
740	1360	475
741	1361	473
742	1362	471
743	1365	469
744	1366	467
745	1367	465
746	1368	463
747	1369	461
748	1370	459
749	1371	457
750	1372	455
751	1373	453
752	1375	451
753	1378	449
754	1379	447
755	1380	445
756	1381	443
757	1382	441
758	1383	439
759	1384	437
760	1385	435
761	1386	433
762	1388	431
763	1389	429
764	1391	427
765	1392	425
766	1394	423
767	1395	421
768	1396	419
769	1398	417
770	1399	415
771	1400	413
772	1401	411
773	1402	409
774	1403	407
775	1404	405
776	1407	403
777	1408	401
778	1409	399
779	1410	397
780	1411	395
781	1412	393
782	1413	391
783	1414	389
784	1417	388
785	1418	386
786	1419	384
787	1421	382
788	1423	380
789	1425	379
790	1426	377
791	1427	375
792	1428	372
793	1429	370
794	1430	368
795	1431	366
796	1433	365
797	1434	363
798	1437	361
799	1438	359
800	1439	357
801	1440	355
802	1441	353
803	1443	351
804	1444	349
805	1445	347
806	1446	345
807	1447	344
808	1448	342
809	1449	340
810	1453	338
811	1454	336
812	1455	334
813	1456	332
814	1457	330
815	1458	328
816	1460	327
817	1461	325
818	1462	323
819	1463	321
820	1464	319
821	1466	317
822	1467	315
823	1469	313
824	1470	312
825	1471	310
826	1472	308
827	1473	306
828	1474	304
829	1475	302
830	1477	300
831	1478	298
832	1481	297
833	1482	295
834	1484	293
835	1485	291
836	1486	289
837	1488	287
838	1490	285
839	1491	284
840	1492	282
841	1493	280
842	1494	278
843	1497	276
844	1498	274
845	1499	272
846	1500	271
847	1502	269
848	1503	267
849	1505	265
850	1506	263
851	1507	261
852	1508	260
853	1511	258
854	1512	256
855	1515	254
856	1516	252
857	1517	251
858	1518	249
859	1519	247
860	1520	245
861	1521	243
862	1522	241
863	1524	239
864	1527	238
865	1529	236
866	1530	234
867	1532	233
868	1533	231
869	1534	229
870	1535	227
871	1536	225
872	1537	223
873	1538	221
874	1539	219
875	1542	218
876	1543	216
877	1545	214
878	1546	212
879	1547	210
880	1548	209
881	1549	207
882	1551	205
883	1552	203
884	1553	201
885	1554	199
886	1556	198
887	1558	196
888	1560	194
889	1561	192
890	1562	191
891	1563	189
892	1564	187
893	1565	185
894	1566	183
895	1567	181
896	1569	180
897	1572	178
898	1573	176
899	1575	175
900	1576	173
901	1577	171
902	1579	169
903	1580	167
904	1581	165
905	1582	164
906	1583	162
907	1584	160
908	1588	159
909	1589	157
910	1590	155
911	1592	153
912	1593	151
913	1593	149
914	1595	148
915	1596	146
916	1597	144
917	1598	142
918	1599	141
919	1603	139
920	1604	137
921	1606	135
922	1607	134
923	1608	132
924	1609	130
925	1610	128
926	1611	126
927	1612	125
928	1613	123
929	1615	121
930	1618	119
931	1619	118
932	1621	116
933	1623	114
934	1624	112
935	1625	111
936	1626	109
937	1628	107
938	1629	105
939	1630	104
940	1633	102
941	1634	100
942	1635	98
943	1636	97
944	1637	95
945	1638	93
946	1639	91
947	1641	90
948	1643	88
949	1644	86
950	1645	84
951	1646	83
952	1648	81
953	1649	79
954	1651	77
955	1652	76
956	1652	74
957	1653	72
958	1654	70
959	1656	69
960	1657	67
961	1658	65
962	1660	63
963	1662	62
964	1663	60
965	1665	58
966	1666	56
967	1667	55
968	1668	53
969	1669	51
970	1670	49
971	1672	48
972	1673	46
973	1674	44
974	1675	42
975	1678	41
976	1679	39
977	1681	37
978	1682	36
979	1683	34
980	1684	32
981	1685	30
982	1687	29
983	1688	27
984	1689	25
985	1690	24
986	1691	22
987	1693	20
988	1695	18
989	1696	17
990	1697	15
991	1698	13
992	1699	11
993	1700	10
994	1701	8
995	1703	6
996	1704	5
997	1705	3
998	1708	1
999	1709	0
